category,model,accuracy_mean,accuracy_std,agreement_acc_mean,agreement_acc_std,disagreement_acc_mean,disagreement_acc_std,strong_disagreement_acc_mean,strong_disagreement_acc_std,auroc_mean,auroc_std,ece_mean,ece_std,agreement_ece_mean,agreement_ece_std,disagreement_ece_mean,disagreement_ece_std,calibration_gap_mean,calibration_gap_std,high_conf_error_rate_mean,high_conf_error_rate_std,modality_dominance_text_pct_mean,modality_dominance_text_pct_std
Digital_Music,disagree_aware_lc,0.8597075698685915,0.005937077524466195,0.8936186921065579,0.003785441121927712,0.617645548273351,0.05295872156161779,0.605144207875775,0.06882379596939919,0.9353360463682329,0.0027209170358239304,0.023920463268820403,0.01115674469279458,0.033748602056478894,0.0199181126495989,0.18029408530045765,0.03276115878613607,0.14654548324397876,0.02405287411232135,0.03436418914451318,0.007717866606727191,88.74607504884113,1.9907902236297184
Digital_Music,early_fusion_full,0.9078289838978345,0.004407137108936016,0.9323856589361771,0.005076690297045009,0.7325779004254341,0.038924381309718134,0.715527046101843,0.04861050071613455,0.971009166769433,0.0014003226204056484,0.021231293904090193,0.0016321658723755005,0.020792181153332673,0.006587660253557755,0.130921886229315,0.03499282004760169,0.11012970507598234,0.03199577821655569,0.026042724338174745,0.004455239709825626,87.37980214552726,1.6981636220679128
Digital_Music,early_fusion_lc,0.8856191004997224,0.007871986051503506,0.9205753055636543,0.0032527112650011934,0.6359892938816706,0.0544059246454913,0.6162327413728437,0.06391216400918305,0.9495967443581206,0.007052842119322069,0.022140341423908333,0.005223329280775658,0.021103412194830893,0.0029047389382771335,0.21079059314595397,0.048772028615526646,0.18968718095112305,0.0516623596657882,0.03981376229635863,0.0075804243617265035,90.97178751342013,1.5971898980002392
Digital_Music,metadata_lc,0.5887469924116232,0.006716730450351301,0.5948855256540988,0.010639264339890351,0.5484006617863121,0.06823896544256337,0.5441627124444908,0.05596697839743045,0.6288523040243351,0.013835584622999615,0.05866407531594736,0.00888885629686151,0.05259545580289613,0.01643965951764179,0.10944892158345858,0.050473178060110466,0.05685346578056244,0.06377964509504779,0.11691919191919192,0.03777511063884745,,
Digital_Music,text_only,0.8761799000555247,0.005468549584561964,0.9151376070997522,0.009958157510294705,0.5963540429011281,0.02367526790574504,0.575566115542773,0.041497089114868234,0.9451934065030625,0.00519969936171085,0.033998628430619716,0.004676995422201065,0.057558086764970574,0.011643203239771211,0.16540270497012963,0.021844777004212293,0.10784461820515905,0.016150260007978975,0.022065646991773217,0.006795121261438133,,
Gift_Cards,disagree_aware_lc,0.9109753840459004,0.006191274730215701,0.9359253302395065,0.008578023667039268,0.6835258427518939,0.015442383535494889,0.6798391701560716,0.009709892604935556,0.9600772803880462,0.003442000830607432,0.02629464928077317,0.012590670877316475,0.031220928295622414,0.013036101027325246,0.24065456752091438,0.029478450240982324,0.20943363922529193,0.04157736200863831,0.03991598546785485,0.011165259329304143,83.71610674521001,2.084005769584835
Gift_Cards,early_fusion_full,0.9250416435313714,0.0033774361634082255,0.9554376938514869,0.004949942503506761,0.6480035276446457,0.0064360644969171064,0.6382597386118513,0.011868100202341265,0.970811444074485,0.003957598627286362,0.028289090437970076,0.009097768971130911,0.024097734156483766,0.010320462492025013,0.28651823563677,0.027909620771296224,0.26242050148028623,0.038123099224015834,0.03750123719541782,0.004789890404957593,85.06054525888864,2.1044263525704334
Gift_Cards,early_fusion_lc,0.9237460669998149,0.0032534510144821265,0.9542022417769545,0.0046318815111961766,0.6460465692603533,0.009506975769846061,0.6337525906187879,0.012105934000000177,0.9712134665186829,0.003928865626339742,0.014585063367524945,0.002530559193551408,0.027401849747268336,0.004810053238267088,0.2907171256163846,0.0181537172977007,0.26331527586911624,0.02240921464143063,0.03380622844903609,0.0015673247266190524,88.06549709106655,0.9391210298951987
Gift_Cards,metadata_lc,0.7866000370164722,0.0044880087554995856,0.8040656861231573,0.006097261702389938,0.6273913519500653,0.013381997046719316,0.6268407491999041,0.012258465094654586,0.8614786040202244,0.00424847845809232,0.03188972740223645,0.006402243253390714,0.03245359456754112,0.007454804492211198,0.26272944051295094,0.017914305320996853,0.2302758459454098,0.01693891474397532,0.08756500825043025,0.011303320881738733,,
Gift_Cards,text_only,0.9144919489172681,0.002001971835349243,0.9525602009739941,0.003362490779380599,0.5677389117317949,0.032658619190338335,0.5467174921400274,0.04648336209796709,0.9663503514613394,0.0015926237201080724,0.030024898750787374,0.0009301433141792776,0.055329365984497454,0.0027520097368587465,0.3039016463502961,0.03967402794244078,0.24857228036579862,0.03743371189789211,0.023718402414317594,0.0017904904675325362,,
Video_Games,disagree_aware_lc,0.852674440125856,0.004787161634787174,0.8861875591377101,0.009629672453414433,0.6388739844668824,0.02469950926842736,0.6165463917525773,0.03383112644264064,0.9306089941217577,0.0019516870234689112,0.04906607978011465,0.009210423885118826,0.05902808977803999,0.02291049231381318,0.19287690432575902,0.05614234187498016,0.13384881454771905,0.07777175764866745,0.04090326957382626,0.021205789584154682,88.3702104121498,2.2292064860054857
Video_Games,early_fusion_full,0.8693318526744401,0.005129152863428098,0.9116547402210466,0.010114601485784334,0.5989897511774493,0.021764259774094786,0.5693642611683849,0.034050843077176214,0.9407181321165784,0.004129040789915464,0.04379590714700946,0.021062390303801956,0.03283614085621,0.012531991107474815,0.26753570545104405,0.025701731591456525,0.23469956459483407,0.013185804748819311,0.05452111319781574,0.019400010824711943,88.59926772719238,3.286169123556081
Video_Games,early_fusion_lc,0.8717379233759023,0.0036409986253758994,0.9163499373763916,0.006672664317393244,0.5864375179530538,0.026705475243595483,0.5540549828178695,0.021702030815011982,0.9414274263164386,0.002888587493571995,0.04492396414803947,0.014377396352099453,0.025764904736185302,0.008306817324625904,0.2787547148307833,0.01755653942970619,0.252989810094598,0.013719962247545311,0.05424431239260482,0.009547368955294464,89.9018505828822,2.792181886377141
Video_Games,metadata_lc,0.6298352766981307,0.005988780191509688,0.6454246412338241,0.004420882692408582,0.5296616063895709,0.022384869910838184,0.5200515463917527,0.017963529259659557,0.6791780737452214,0.001092207514187464,0.04614619895272535,0.006440976614877776,0.049210284009341264,0.0024693060292627646,0.22441537496637473,0.032161298426622235,0.17520509095703343,0.02971667170212277,0.17685725042481962,0.05062443791198353,,
Video_Games,text_only,0.8704423468443457,0.004167436701535329,0.9122982408645472,0.01043431832026608,0.6034457217082455,0.03787310718777555,0.5644158075601374,0.04179901748891871,0.9359039339006042,0.00223566903925895,0.0394702876653477,0.0033294870364984144,0.06807300657139477,0.003601182352384127,0.22625649640162168,0.017755300175098174,0.15818348983022693,0.020419538358884663,0.03544176651643399,0.007097358005854638,,
