accuracy,f1,auroc,ece,brier,agreement_acc,disagreement_acc,strong_disagreement_acc,agreement_ece,disagreement_ece,calibration_gap,high_conf_error_rate,n_high_conf,conf_correct,conf_incorrect,n_agreement,n_disagreement,n_strong_disagreement,n_test,model,category,seed,split_id,modality_dominance_text_pct,n_true_conflict,conflict_auc
0.8780406531156282,0.8771812080536913,0.9452673773040196,0.030555928324022423,0.09165436339242702,0.9101165851823994,0.6286549707602339,0.6037037037037037,0.05512065080981274,0.20324238176385062,0.14812173095403788,0.02953020134228188,1490,0.8703292643313493,0.6982014593336664,2659,342,270,3001,text_only,All_Beauty,456,All_Beauty_s456_70-15-15,,,
0.882705764745085,0.8815612382234186,0.9483833000222075,0.04577177334471328,0.08978454768657684,0.9183903723204212,0.6052631578947368,0.5740740740740741,0.0267910612197176,0.2624237970149482,0.2356327357952306,0.05485961123110151,2315,0.9438822865486145,0.8023725152015686,2659,342,270,3001,early_fusion_lc,All_Beauty,456,All_Beauty_s456_70-15-15,90.64976228209191,1262.0,
0.8873708763745418,0.8848773841961853,0.949282700421941,0.01757039425175255,0.08618459105491638,0.9221511846558856,0.6169590643274854,0.5925925925925926,0.022980464515200937,0.24668004786410522,0.22369958334890427,0.03779366700715015,1958,0.9093340635299683,0.7518380284309387,2659,342,270,3001,gated_fusion_lc,All_Beauty,456,All_Beauty_s456_70-15-15,94.5324881141046,1262.0,
0.8650449850049984,0.8648648648648649,0.9326435709526982,0.06684868877225421,0.10626678168773651,0.8928168484392629,0.6491228070175439,0.6333333333333333,0.045414192091369585,0.26948804403954774,0.22407385194817814,0.07741116751269035,2364,0.9463966488838196,0.8220967650413513,2659,342,270,3001,disagree_aware_lc,All_Beauty,456,All_Beauty_s456_70-15-15,89.54041204437401,1262.0,
0.8843718760413196,0.8831256315257663,0.950860537419498,0.0369060301631242,0.08581271767616272,0.9176382098533283,0.6257309941520468,0.5962962962962963,0.02626285357901635,0.2458853152041373,0.21962246162512095,0.04792043399638336,2212,0.9361613392829895,0.774105429649353,2659,342,270,3001,ugca_fusion,All_Beauty,456,All_Beauty_s456_70-15-15,95.31849577897161,1303.0,0.7298879014007378
0.8807064311896035,0.8803475935828877,0.9472538307794802,0.03676172677198751,0.09063508547294938,0.9052275291462956,0.6900584795321637,0.6679841897233202,0.0523948359188993,0.12451822450467867,0.07212338858577938,0.024238227146814405,1444,0.8647766130195736,0.6901493568338892,2659,342,253,3001,text_only,All_Beauty,789,All_Beauty_s789_70-15-15,,,
0.8850383205598134,0.8854961832061069,0.9504552520541861,0.026911637368737685,0.08750789612531662,0.9104926664159458,0.6871345029239766,0.6719367588932806,0.017140587418430848,0.16520290157338333,0.14806231415495247,0.04376784015223597,2102,0.9243084788322449,0.7732608318328857,2659,342,253,3001,early_fusion_lc,All_Beauty,789,All_Beauty_s789_70-15-15,92.65536723163842,1239.0,
0.8857047650783072,0.8863862206028487,0.9525520763935154,0.02055654432581133,0.08430958539247513,0.9127491538172245,0.6754385964912281,0.6600790513833992,0.028174575873562677,0.14242912764655566,0.11425455177299298,0.031266017426960536,1951,0.9105467796325684,0.7325019240379333,2659,342,253,3001,gated_fusion_lc,All_Beauty,789,All_Beauty_s789_70-15-15,94.51170298627926,1239.0,
0.8720426524491836,0.8732673267326733,0.9367177437264047,0.0711280583053013,0.10359859466552734,0.8939450921399023,0.7017543859649122,0.6877470355731226,0.052606963287042854,0.22668123824728859,0.17407427496024575,0.07736863880844022,2417,0.9528197646141052,0.8411410450935364,2659,342,253,3001,disagree_aware_lc,All_Beauty,789,All_Beauty_s789_70-15-15,89.99192897497983,1239.0,
0.8877040986337887,0.8861101723555255,0.9513775260937153,0.025341193550767527,0.08504270017147064,0.9142534787514103,0.6812865497076024,0.6600790513833992,0.012583564054858384,0.17733806042730457,0.16475449637244619,0.04080652904464714,2083,0.9222716093063354,0.7613201141357422,2659,342,253,3001,ugca_fusion,All_Beauty,789,All_Beauty_s789_70-15-15,94.92753623188406,1242.0,0.7245996714237644
